BookingID,CustomerID,FirstName,LastName,Age,Gender,Email,Phone,Airline,FlightNo,DepartureCity,ArrivalCity,BookingDate,FlightDate,SeatClass,Passengers,Fare,PaymentMethod,BookingStatus
BKG100000,CUST11144,Name420,Surname1386,65,Male,user0@example.com,9734036506,Akasa Air,AI130,Mumbai,Chennai,09-10-2025,25-10-2025,Economy,2,9814,Credit Card,Completed
BKG100001,CUST14465,Name1719,Surname452,46,Female,user1@example.com,9969119330,IndiGo,6E814,Chennai,Kolkata,23-07-2025,07-09-2025,Premium Economy,3,23795,Debit Card,Confirmed
BKG100002,CUST13113,Name397,Surname736,72,Female,user2@example.com,9748245888,SpiceJet,AI847,Bengaluru,Goa,11-12-2025,18-12-2025,Premium Economy,5,5539,UPI,Cancelled
BKG100003,CUST12963,Name2365,Surname394,63,Male,user3@example.com,9149203558,Air India,SG181,Mumbai,Kolkata,28-10-2025,21-12-2025,Economy,1,23099,Net Banking,Cancelled
BKG100004,CUST12911,Name859,Surname1373,35,Male,user4@example.com,9754049436,Air India,6.00E+267,Goa,Kolkata,09-01-2026,20-01-2026,Premium Economy,4,14630,Debit Card,Completed
BKG100005,CUST11877,Name132,Surname1649,38,Female,user5@example.com,9387484583,IndiGo,6E680,Bengaluru,Pune,29-11-2025,22-01-2026,Business,3,4332,Credit Card,Completed
BKG100006,CUST11144,Name1011,Surname1526,53,Female,user6@example.com,9902099969,Vistara,QP697,Goa,Bengaluru,15-04-2026,25-04-2026,Premium Economy,3,11179,Credit Card,Confirmed
BKG100007,CUST11253,Name2571,Surname328,68,Female,user7@example.com,9740389325,IndiGo,QP490,Goa,Chennai,18-02-2025,15-04-2025,Business,4,6092,Debit Card,Completed
BKG100008,CUST12186,Name2626,Surname697,25,Female,user8@example.com,9566825638,Air India,QP103,Chennai,Pune,28-04-2025,11-06-2025,Business,3,20095,Credit Card,Completed
BKG100009,CUST14159,Name2495,Surname408,27,Female,user9@example.com,9918739736,Air India,AI713,Mumbai,Goa,02-11-2025,26-12-2025,Premium Economy,4,23437,UPI,Confirmed
